Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
single,3rd phase - general contingent,first choice,Social Service,daytime,Secondary education,137.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,137.4,1,0,0,1,female,0,18,0,0,6,1,12.0,0,6,2,11.0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,135.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,127.3,1,0,0,1,female,0,18,0,0,7,7,13.30625,0,8,8,14.545,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,first choice,Equinculture,daytime,Secondary education,137.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,136.3,1,0,0,1,female,0,20,0,0,5,4,12.5,0,5,4,12.25,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,first choice,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,124.6,1,0,0,1,female,0,18,0,0,7,6,11.66666667,0,7,6,13.5,16.2,0.3,-0.92,Enrolled
single,3rd phase - general contingent,intermediate choice,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.8,1,0,0,1,female,0,20,0,0,7,7,11.4375,0,8,8,11.425,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,142.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,125.5,1,0,0,1,female,0,18,0,0,8,7,12.85714286,0,8,7,12.85714286,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,intermediate choice,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,114.9,1,0,0,1,female,1,19,0,0,6,6,13.375,0,6,6,12.28571429,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,126.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.9,0,0,0,1,female,0,19,0,0,7,6,13.29666667,0,8,7,14.11428571,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,151.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,157.0,1,0,1,1,female,1,18,0,0,6,5,11.6,0,6,4,11.0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,115.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,116.4,1,0,0,1,female,0,21,0,0,6,6,11.375,0,6,6,13.28571429,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,first choice,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,131.0,1,0,0,1,female,0,18,0,0,5,5,12.66666667,0,5,4,13.0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,first choice,Management,daytime,Secondary education,135.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,122.1,1,0,0,1,female,0,20,0,0,5,5,12.0,0,5,5,12.33333333,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,127.0,Portuguese,Higher education - degree,Higher education - degree,118.8,1,0,0,1,male,0,19,0,0,7,6,12.93333333,0,7,6,13.71666667,16.2,0.3,-0.92,Enrolled
single,Technological specialization diploma holders,first choice,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Higher education - master,Higher education - doctorate,150.0,0,0,0,1,male,0,21,0,0,6,5,11.85714286,0,6,5,10.57142857,16.2,0.3,-0.92,Enrolled
single,Change of institution/course,first choice,Communication Design,daytime,Secondary education,125.0,Portuguese,Professional higher technical course,Higher education - degree,130.0,1,0,0,1,male,0,20,0,2,6,6,12.83333333,0,6,4,13.4,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,first choice,Management,daytime,Secondary education,143.0,Portuguese,Secondary education,Secondary education,138.8,0,0,0,0,male,0,18,0,0,5,3,11.33333333,0,5,2,13.5,8.9,1.4,3.51,Enrolled
single,3rd phase - general contingent,first choice,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,134.5,1,0,0,1,female,0,19,0,0,6,6,12.66666667,0,6,6,14.375,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,first choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Higher education - bachelor degree,Basic education 1st cycle (4th/5th year) or equiv.,131.4,0,0,0,1,male,0,34,0,0,5,5,12.4,0,5,5,13.42857143,13.9,-0.3,0.79,Graduate
single,Over 23 years old,first choice,Biofuel Production Technologies,daytime,Secondary education,130.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,102.5,0,0,1,0,male,0,37,0,0,7,4,12.5,0,7,6,11.9,8.9,1.4,3.51,Dropout
single,Over 23 years old,first choice,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,,Basic education 1st cycle (4th/5th year) or equiv.,128.8,1,0,0,1,male,0,43,0,0,5,3,10.3,0,5,1,10.1,7.6,2.6,0.32,Dropout
single,Change of course,first choice,Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,122.9,0,0,0,1,female,0,55,0,0,5,3,11.2,0,5,1,11.0,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,113.9,1,0,0,1,female,0,39,0,0,5,5,11.0,0,5,5,11.6,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,first choice,Equinculture,daytime,Technological specialization course,120.0,Spanish,Higher education - master,Higher education - master,120.0,0,0,1,0,female,0,20,1,2,6,2,11.0,1,6,6,10.7,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Higher education - degree,Higher education - degree,121.1,0,0,1,1,female,0,18,0,0,6,3,11.1,0,5,5,11.6,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,intermediate choice,Management,daytime,Secondary education,133.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,120.4,1,0,0,1,female,0,22,0,0,5,5,14.8,0,5,5,15.8,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,last choice,Nursing,daytime,Secondary education,103.0,Portuguese,Secondary education,Higher education - degree,100.6,1,1,0,1,female,0,22,0,0,7,5,13.928,0,8,7,14.34285714,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.4,0,0,0,0,female,0,20,0,0,6,3,11.4,0,6,4,10.6,12.4,0.5,1.79,Dropout
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,109.7,0,0,0,1,female,0,29,0,0,5,4,11.4,0,5,2,10.7,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,first choice,Management (evening attendance),evening,Secondary education,154.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,134.1,0,0,0,1,female,0,24,0,0,5,2,11.5,0,5,3,14.33333333,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,127.6,1,0,0,1,female,0,18,0,0,6,6,11.66666667,0,6,5,13.2,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,last choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,132.4,1,0,0,1,female,1,22,0,0,7,6,13.51666667,0,8,7,13.77142857,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,first choice,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.4,0,0,0,1,female,1,21,0,3,6,6,11.5,2,6,6,13.28571429,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,126.1,0,0,0,1,female,1,19,0,0,6,5,12.33333333,0,6,6,12.83333333,12.7,3.7,-1.7,Graduate
single,Over 23 years old,first choice,Tourism,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,113.5,0,0,0,1,female,1,24,0,0,6,6,13.66666667,0,6,6,14.16666667,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,139.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.3,1,0,0,1,female,1,19,0,0,8,6,11.83333333,0,8,6,11.83333333,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,121.8,1,0,0,1,female,1,20,0,0,6,4,14.0,0,6,3,11.0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,intermediate choice,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,159.3,0,0,0,1,female,0,19,0,0,5,5,14.71428571,0,5,5,15.8,7.6,2.6,0.32,Graduate
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,120.0,0,0,0,1,female,0,27,0,0,5,3,10.9,0,5,1,11.6,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,129.1,1,0,0,1,female,0,18,0,0,7,7,13.04444444,0,8,8,13.595,15.5,2.8,-4.06,Graduate
married,Holders of other higher courses,first choice,Tourism,daytime,Higher education - degree,130.0,Portuguese,Secondary education,Higher education - degree,130.0,0,0,0,1,female,0,39,0,0,6,2,11.3,0,6,3,10.5,12.4,0.5,1.79,Dropout
single,Over 23 years old,first choice,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,Higher education - degree,Higher education - degree,155.3,1,0,0,1,female,0,27,0,0,6,2,10.1,5,11,2,11.3,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,first choice,Nursing,daytime,Secondary education,141.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,139.8,1,0,0,1,female,0,18,0,0,8,8,14.935,0,8,8,14.935,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,125.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,114.9,0,0,0,1,female,0,18,0,0,7,6,13.13333333,0,8,7,12.22142857,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,first choice,Social Service,daytime,Technological specialization course,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,131.9,0,0,0,1,female,1,21,0,3,6,6,12.0,2,6,6,12.0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,first choice,Communication Design,daytime,Secondary education,127.0,Portuguese,Secondary education,Secondary education,130.2,1,0,0,1,male,0,19,0,0,6,5,11.4,0,6,1,10.0,10.8,1.4,1.74,Enrolled
divorced,Transfer,first choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Secondary education,Secondary education,126.0,1,0,0,1,male,0,29,0,2,7,1,11.8,1,8,3,11.9,13.9,-0.3,0.79,Dropout
single,Technological specialization diploma holders,first choice,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,130.0,1,0,0,1,male,0,23,0,0,6,6,12.57142857,0,6,6,12.42857143,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,intermediate choice,Management,daytime,Secondary education,125.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,120.1,0,0,1,1,male,0,19,0,0,5,3,10.2,0,5,1,10.5,16.2,0.3,-0.92,Dropout
single,Over 23 years old,first choice,Tourism,daytime,Secondary education,160.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,0,0,1,male,0,26,0,0,6,6,12.0,0,6,5,10.8,12.7,3.7,-1.7,Enrolled
single,2nd phase - general contingent,first choice,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,130.8,0,0,0,1,male,0,24,0,0,7,7,11.975,0,8,8,13.75,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,118.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,111.7,1,0,0,1,male,0,18,0,0,6,5,11.3,0,6,2,11.6,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,132.9,1,0,0,1,male,0,18,0,0,6,6,12.33333333,0,6,3,12.33333333,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,intermediate choice,Management,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,115.5,1,0,1,1,male,0,18,0,0,5,5,10.3,0,5,2,11.0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,106.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,106.0,1,0,0,1,male,1,21,0,0,6,4,12.1,0,6,6,10.4,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,120.3,1,0,1,1,male,1,19,0,0,6,6,13.66666667,0,6,6,13.33333333,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,130.8,0,0,0,1,male,1,22,0,0,7,7,14.84285714,0,8,8,15.05555556,16.2,0.3,-0.92,Graduate
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,117.0,0,0,0,1,male,0,33,0,0,6,6,12.0,0,6,6,11.66666667,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,last choice,Basic Education,daytime,Secondary education,114.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,110.2,1,0,0,1,male,0,20,0,0,6,5,11.5,0,6,2,10.9,10.8,1.4,1.74,Dropout
single,Over 23 years old,first choice,Management (evening attendance),evening,Higher education - bachelor degree,140.0,Portuguese,Higher education - degree,Higher education - degree,155.7,1,0,0,1,male,0,35,0,0,1,4,12.1,0,5,1,11.3,10.8,1.4,1.74,Dropout
single,Over 23 years old,first choice,Agronomy,daytime,Higher education - master,160.0,Portuguese,Higher education - degree,Higher education - degree,180.4,0,0,1,1,male,0,24,0,6,12,9,11.9,7,12,8,11.4,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,first choice,Tourism,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,125.5,0,0,0,1,male,0,18,0,0,5,5,12.0,0,5,3,11.33333333,12.7,3.7,-1.7,Enrolled
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,110.0,1,0,0,1,female,0,33,0,0,6,6,11.0,0,6,5,11.0,9.4,-0.8,-3.12,Graduate
single,Transfer,first choice,Nursing,daytime,Secondary education,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,161.0,1,0,0,1,female,1,22,0,0,8,7,13.08,0,8,7,13.08,10.8,1.4,1.74,Graduate
single,Over 23 years old,first choice,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,100.0,0,0,0,1,female,1,25,0,0,5,4,10.5,0,5,5,11.6,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,first choice,Communication Design,daytime,Secondary education,124.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,117.6,1,0,0,1,male,0,20,0,0,6,6,10.66666667,0,6,5,11.2,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,last choice,Management,daytime,Secondary education,143.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,128.7,1,0,0,1,male,0,23,0,0,5,4,14.0,0,5,5,13.8,11.1,0.6,2.02,Enrolled
single,Over 23 years old,first choice,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary education,Secondary education,100.8,0,0,0,1,male,0,24,0,0,7,6,11.4,0,7,1,10.4,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,133.1,Brazilian,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,105.0,1,0,0,0,female,0,21,1,0,6,6,14.0,0,6,6,13.5,8.9,1.4,3.51,Graduate
single,International student (bachelor),first choice,Equinculture,daytime,Secondary education,133.1,Brazilian,Secondary education,Secondary education,100.0,0,0,0,1,female,0,26,1,0,6,5,12.0,0,6,6,11.3,8.9,1.4,3.51,Dropout
married,Over 23 years old,first choice,Basic Education,daytime,11th year of schooling - not completed,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,,115.5,0,0,0,1,female,0,39,0,0,6,1,10.9,0,6,6,11.6,7.6,2.6,0.32,Dropout
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,114.0,0,0,0,1,female,0,44,0,2,8,8,11.875,0,6,6,12.33333333,12.7,3.7,-1.7,Graduate
single,International student (bachelor),first choice,Informatics Engineering,daytime,Secondary education,130.0,Santomean,Basic education 2nd cycle (6th/7th/8th year) or equiv,Higher education - degree,137.0,1,0,0,1,male,0,19,1,0,5,5,14.0,0,5,3,13.25,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary education,124.9,1,0,0,1,female,0,18,0,0,6,6,13.66666667,0,6,6,13.33333333,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,120.3,1,0,0,1,female,1,18,0,0,7,7,13.75,0,8,8,14.47777778,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,first choice,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,Secondary education,Higher education - bachelor degree,134.3,1,0,0,1,female,0,19,0,0,5,5,14.2,0,5,5,13.8,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,115.0,Portuguese,Higher education - degree,Higher education - degree,111.5,1,0,1,0,female,0,19,0,0,7,5,10.9,0,7,4,10.5,13.9,-0.3,0.79,Dropout
single,Short cycle diploma holders,first choice,Veterinary Nursing,daytime,Professional higher technical course,130.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,128.8,0,0,0,1,female,0,21,0,7,10,4,11.4,4,9,10,11.7,8.9,1.4,3.51,Dropout
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,113.5,1,0,0,1,female,0,36,0,0,6,4,10.6,0,6,2,10.6,9.4,-0.8,-3.12,Dropout
divorced,Over 23 years old,first choice,Agronomy,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,160.0,0,0,0,1,female,0,43,0,13,18,18,14.63157895,10,13,13,14.23076923,15.5,2.8,-4.06,Graduate
